,OR,p,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std,exp_error_5,poly_error_5,exp_error_10,poly_error_10,exp_error_15,poly_error_15
42,0.1,0.22,0.7,0.020493901531919198,0.4667584000000001,0.013676076094365663,0.6666617142857143,0.001058284892669492,6.91527745938085e-08,2.1691488427168262e-06,1.0846755124568236e-06,0.00039602545965325,0.00011633001621866399,0.005074966697078251
47,0.1,0.24,0.708,0.0203340109176719,0.4708376,0.013532241702411319,0.6648943502824859,0.0010046326059288738,6.91527745938085e-08,2.1691488427168262e-06,2.9608916617975544e-06,0.00042800024037192733,0.00013701174370386564,0.00531160959270345
48,0.1,0.26,0.736,0.019713142824014644,0.4896372,0.013126822614491291,0.6651663043478261,0.000981419350783517,5.210560069946754e-08,2.093916906149063e-06,1.4534714856826712e-06,0.000407412938904942,0.00020440268227634822,0.005607973750768061
34,0.1,0.28,0.696,0.020571047615520217,0.46123080000000005,0.01364204135541012,0.6625580459770115,0.0010243755427592233,6.567919417060971e-08,2.053895726545547e-06,9.283542973583028e-08,0.0003585418702386494,4.5220114911801e-05,0.004480084134361866
51,0.1,0.3,0.726,0.01994612744369192,0.47849040000000004,0.013158491207417362,0.6589586776859504,0.0010261452477647586,1.575439422459393e-08,1.433719101981646e-06,2.482373678324578e-07,0.0003474141462474152,1.0322114275657891e-05,0.004076857345977495
43,0.1,0.32,0.718,0.020123419192572618,0.4735096,0.0132816532696679,0.6593626740947076,0.000995406851392334,6.91527745938085e-08,2.1691488427168262e-06,1.269290073785958e-06,0.0003999275272692777,0.00021121861466571267,0.005627688597124017
40,0.1,0.34,0.73,0.019854470529329156,0.48016759999999997,0.013072516035579379,0.6576504109589041,0.0010219066158201446,6.887228041407758e-08,1.945309277040935e-06,1.3456076317024073e-07,0.0003587448946967965,3.2321293777554574e-05,0.004366148436230462
35,0.1,0.36,0.73,0.019854470529329156,0.4800480000000001,0.013068003349861829,0.6574969863013699,0.0009720006111635525,3.518094826890791e-08,2.0622091553782966e-06,2.120508681221497e-06,0.0004152236859422123,0.00019903426865835688,0.005589791190007287
22,0.1,0.38,0.732,0.0198078772209442,0.47715440000000003,0.012925998731288814,0.6517437158469945,0.0010322321946491595,1.6034888404324846e-08,1.6575586676575376e-06,5.993034925205899e-07,0.0003879045715186895,0.0001484818296561677,0.005333520878588512
118,0.1,0.4,0.738,0.01966499427917537,0.48076520000000006,0.012821724725555449,0.6513327913279132,0.0009551793873379116,1.575439422459393e-08,1.433719101981646e-06,4.186032963524048e-06,0.0004407331888345653,0.0002846560771125168,0.005992002523942044
107,0.1,0.42,0.734,0.019760769215797242,0.47877880000000006,0.012901887709212167,0.6521825613079019,0.0009774484527317944,6.91527745938085e-08,2.1691488427168262e-06,4.72083123422518e-07,0.0003674928635734971,3.8050428076487516e-05,0.004483070805981586
102,0.1,0.44,0.724,0.01999119806314769,0.4689340000000001,0.012962162934016839,0.6475955801104972,0.001027601708181985,3.518094826890791e-08,2.0622091553782966e-06,1.655347919346801e-06,0.00040867999017561664,0.00021206369568104426,0.00564598742628571
97,0.1,0.46,0.69,0.02068332661831747,0.4481508,0.013444718295253344,0.6493669565217391,0.0010488870420219884,6.91527745938085e-08,2.1691488427168262e-06,4.2808585309611056e-07,0.00038323049444808076,0.00021876587438627313,0.005612014206575001
88,0.1,0.48,0.708,0.0203340109176719,0.4585604,0.013183639336074087,0.6475627118644068,0.00107723472075211,3.0309941150854387e-08,2.0647296974303465e-06,1.9010287252145122e-06,0.00041195380464697416,0.0002755232638970057,0.00597870744757917
110,0.1,0.5,0.716,0.020166506886419373,0.4619692,0.013023557812776046,0.6451022346368714,0.0009948705018295847,4.596591714845269e-08,1.7296506998472215e-06,1.1597352515267128e-07,0.00036353955175309034,0.00010920297828422773,0.005022539743774467
111,0.1,0.52,0.73,0.019854470529329156,0.470708,0.01281805974833945,0.6447002739726027,0.0010633078606286993,9.609993544020612e-08,2.4196550750593847e-06,8.495851216436848e-07,0.0003945534199622614,0.00011891279648898995,0.005102875791204636
101,0.1,0.54,0.726,0.01994612744369192,0.46578720000000007,0.012811312126098559,0.6414683195592286,0.0010433559284500776,6.887228041407758e-08,1.945309277040935e-06,5.827258646143866e-07,0.00038268149415604026,0.00012632543180686028,0.0051708960507711385
115,0.1,0.56,0.734,0.019760769215797242,0.4698992000000001,0.012663128605471871,0.6400779291553134,0.000988119746841942,5.210560069946754e-08,2.093916906149063e-06,4.760065836490297e-06,0.0004445710654079883,0.0003736494494478705,0.006406120913939653
108,0.1,0.58,0.728,0.019900552756142227,0.4661712,0.012759156333438352,0.6402318681318682,0.0010792809965812884,4.9726220549494515e-08,1.540658789320176e-06,2.889535074804077e-06,0.00042607026823762,0.00021309892800775576,0.005695987382573422
85,0.1,0.6,0.714,0.020209106858047932,0.4567364,0.012942809453518197,0.639575350140056,0.0010845629577853437,6.91527745938085e-08,2.1691488427168262e-06,2.513200062512816e-06,0.0004229575498627566,0.000371245907955786,0.006302952663612341
113,0.1,0.62,0.716,0.020166506886419373,0.4575484,0.012905698187811461,0.6389201117318436,0.0011589419985229136,6.91527745938085e-08,2.1691488427168262e-06,1.5752687736879969e-06,0.0004057604813465341,0.0002262662377219969,0.005720274328792171
99,0.1,0.64,0.732,0.0198078772209442,0.4671032,0.01265530396867337,0.6380049180327869,0.0010633198494803065,6.91527745938085e-08,2.1691488427168262e-06,3.4273675496995606e-06,0.0004322493151759437,0.00030109899096057767,0.006061858973107768
91,0.1,0.66,0.708,0.0203340109176719,0.451866,0.01299181966962288,0.6380892655367232,0.0011098408795039013,6.212810911530552e-08,2.312715387720855e-06,1.8436108019129052e-07,0.0003698676393843892,0.00012686658503606902,0.0051307189943520515
86,0.1,0.68,0.712,0.020251222185339826,0.4540016,0.012928637793475382,0.6375112359550562,0.0011249671229754626,3.2959540834884474e-08,1.6892664184283041e-06,4.6212422592592786e-07,0.0003430191364651385,4.085296931913359e-05,0.0043289142895782135
109,0.1,0.7,0.718,0.020123419192572618,0.45794280000000004,0.012850281354753289,0.6376880222841226,0.0010870650409993694,6.91527745938085e-08,2.1691488427168262e-06,1.8435616873074023e-06,0.0004109561069854399,0.00030718980340936657,0.006062471600645385
105,0.1,0.72,0.694,0.020608930103234373,0.4425392000000001,0.013154505733273295,0.6375325648414986,0.0010910337870378858,5.0006714729225435e-08,1.7644983549960677e-06,5.076403793873491e-07,0.00038413276356214984,0.0002410143504630245,0.005747243722067323
