,OR,p,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std,exp_error_5,poly_error_5,exp_error_10,poly_error_10,exp_error_15,poly_error_15
46,0.76,0.12,0.738,0.01966499427917537,0.6791356,0.01808924293455312,0.9201214092140922,0.0003171421978833514,5.210560069946754e-08,2.093916906149063e-06,5.808141266047085e-07,0.0003880129333315995,7.368495004480163e-05,0.004819295698807973
43,0.77,0.12,0.744,0.01951737687293044,0.6854092,0.017974762030990004,0.9211564516129033,0.0003068010471944478,5.210560069946754e-08,2.093916906149063e-06,1.7511574725272002e-06,0.0004116459636353752,0.0001861452227074926,0.0054853603648430714
49,0.78,0.1,0.718,0.020123419192572618,0.6629980000000001,0.018573632540566747,0.9232618384401113,0.00030573371509073005,6.91527745938085e-08,2.1691488427168262e-06,1.2801096976064846e-06,0.00040039589001146796,0.00018968933117631697,0.00552168362161147
45,0.79,0.1,0.7,0.020493901531919198,0.6477783999999999,0.018958131157550316,0.9252765714285716,0.0003286895177322446,5.210560069946754e-08,2.093916906149063e-06,5.099121733603162e-07,0.00038338247204131384,0.00010314833714787278,0.005055047327071934
50,0.8,0.1,0.734,0.019760769215797242,0.680396,0.018311372998440066,0.9268670299727522,0.00030663420956423296,3.2679046655153554e-08,1.4654268527524126e-06,1.18384547744838e-06,0.0003997917209668071,0.00014156298109086545,0.005280548302348517
48,0.81,0.1,0.706,0.020374690181693564,0.6562884000000001,0.018932233243093115,0.9294594900849859,0.0002784238634698592,3.4900454089177e-08,1.8383695897024048e-06,5.976495051566241e-07,0.0003707044006567275,0.0001053764651019593,0.005051510910929986
51,0.82,0.08,0.726,0.01994612744369192,0.6762303999999999,0.018571080496074532,0.931326170798898,0.0002791809718118734,6.91527745938085e-08,2.1691488427168262e-06,1.0579655922251842e-07,0.0003615240355536277,9.90884152797001e-06,0.004159728086513046
55,0.83,0.08,0.722,0.020035768016225385,0.6732004,0.01867506383174312,0.9323030470914129,0.00029907465744444467,5.210560069946754e-08,2.093916906149063e-06,1.0024674524886802e-06,0.0003949146245126235,0.0001323156702990431,0.005269336382766335
59,0.84,0.08,0.732,0.0198078772209442,0.6844288000000001,0.01851359649827985,0.9349005464480873,0.00029172114502173675,6.91527745938085e-08,2.1691488427168262e-06,1.0627006755822026e-06,0.0003996282869847951,0.00014260278065852434,0.005322758903332588
54,0.85,0.08,0.74,0.019616319736382767,0.6933092000000001,0.01837170784850227,0.9367983783783784,0.0002699278780798623,6.887228041407758e-08,1.945309277040935e-06,2.8444210680265635e-07,0.00034889801105615777,1.4008234723975081e-06,0.003810299842788436
