,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
191,w1,10,2.2,100,0.77,0.042083250825001625,0.284058,0.015917926823553374,0.3688337662337662,0.004641728356249247
82,w1,10,2.3,100,0.72,0.0448998886412873,0.244836,0.015867774987061038,0.33992222222222224,0.00610056483363939
234,w1,10,2.4,100,0.67,0.04702127178203499,0.21305,0.015601968433502228,0.3178388059701493,0.006754439957951591
346,w1,10,2.5,100,0.72,0.0448998886412873,0.21385599999999996,0.014340475049314091,0.2969222222222222,0.007378212373783197
321,w1,10,2.6,100,0.71,0.04537620521815371,0.18892799999999998,0.013270447624703547,0.2659661971830986,0.00781688261478821
442,w1,10,2.7,100,0.68,0.0466476151587624,0.174634,0.013162901520561493,0.25660000000000005,0.00812081459939737
157,w1,10,2.8,100,0.65,0.047696960070847276,0.14741799999999997,0.012070714012020995,0.22662461538461537,0.008312040466317552
45,w1,10,2.9,100,0.76,0.04270831300812525,0.15947999999999998,0.010996917749987949,0.2097657894736842,0.00841055216068578
323,w1,10,3.0,100,0.73,0.044395945760846225,0.153676,0.01091390371223789,0.21040821917808222,0.007760406787344677
440,w1,10,3.1,100,0.65,0.047696960070847276,0.116896,0.01006540867724704,0.17968307692307695,0.008155245037979838
236,w1,10,3.2,100,0.7,0.045825756949558406,0.12677,0.009722546734266696,0.18094000000000002,0.007292357027766
345,w1,10,3.3,100,0.75,0.04330127018922193,0.11790399999999998,0.009289198234508725,0.15709599999999999,0.008454708077488871
193,w1,10,3.4,100,0.75,0.04330127018922193,0.11115999999999998,0.008952270326570795,0.14811200000000002,0.008345800372509383
80,w1,10,3.5,100,0.79,0.0407308237088326,0.10966199999999998,0.008675695105292718,0.1387139240506329,0.008350257249678158
172,w1,10,3.6,100,0.77,0.042083250825001625,0.116022,0.008352002823275386,0.1506051948051948,0.007079533212580093
51,w1,10,3.7,100,0.65,0.047696960070847276,0.08917200000000003,0.008018741058295873,0.13694153846153845,0.007203060129546255
343,w1,10,3.8,100,0.7,0.045825756949558406,0.07804399999999999,0.007042127848882041,0.11135714285714286,0.006954212809639152
453,w1,10,3.9,100,0.74,0.04386342439892262,0.08704199999999998,0.007414401820780958,0.11748918918918917,0.007225340058514005
437,w1,10,4.0,100,0.63,0.048280430818293245,0.075366,0.007471570145558428,0.1194730158730159,0.0075625261983764255
326,w1,10,4.1,100,0.69,0.04624932431938871,0.08428999999999999,0.007564434347656142,0.12199420289855073,0.007329627259679648
350,w1,10,4.2,100,0.62,0.048538644398046386,0.070268,0.006978073785795046,0.11311290322580643,0.006982664160006626
231,w1,10,4.3,100,0.72,0.0448998886412873,0.078496,0.006747080838407081,0.10886944444444444,0.006484771048484971
76,w1,10,4.4,100,0.67,0.04702127178203499,0.060862000000000006,0.006003937171556678,0.0906716417910448,0.006333226375218249
197,w1,10,4.5,100,0.67,0.04702127178203499,0.063478,0.006188152483576985,0.09453134328358208,0.006456672327861009
55,w1,10,4.6,100,0.77,0.042083250825001625,0.078882,0.006478721537464008,0.10231688311688311,0.0063073421524567595
168,w1,10,4.7,100,0.74,0.04386342439892262,0.069408,0.005924792600589492,0.09364324324324325,0.00579433146623012
458,w1,10,4.8,100,0.76,0.04270831300812525,0.06758000000000002,0.006154814375754966,0.08874473684210527,0.006404983774865553
339,w1,10,4.9,100,0.7,0.045825756949558406,0.055322,0.005455855492954335,0.07887714285714285,0.005858816893672817
57,w1,10,5.0,100,0.8,0.04,0.062534,0.00525153543642238,0.0780225,0.005300564821023793
282,w1,15,0.0,100,0.74,0.04386342439892262,0.615916,0.036491661204171015,0.8321567567567568,0.001191657574995793
393,w1,15,0.1,100,0.77,0.042083250825001625,0.63541,0.0347182437775876,0.8251090909090909,0.0010194237420175737
301,w1,15,0.2,100,0.76,0.04270831300812525,0.6202260000000002,0.03484575975983305,0.8159921052631581,0.0010376662553402876
422,w1,15,0.3,100,0.67,0.04702127178203499,0.543196,0.038110612483139135,0.8105970149253732,0.0012352763421862138
120,w1,15,0.4,100,0.76,0.04270831300812525,0.608336,0.034187123877857876,0.800357894736842,0.0014006494130393793
5,w1,15,0.5,100,0.74,0.04386342439892262,0.583114,0.03456298196105191,0.7879027027027027,0.0013295003276260152
210,w1,15,0.6,100,0.66,0.04737087712930804,0.511544,0.036707014815154884,0.7748848484848484,0.001680237097955365
103,w1,15,0.7,100,0.71,0.04537620521815371,0.5410379999999999,0.03457229939648215,0.7618901408450701,0.001464283708890225
264,w1,15,0.8,100,0.76,0.04270831300812525,0.568512,0.03196424005916612,0.7479447368421053,0.001937855851278759
381,w1,15,0.9,100,0.7,0.045825756949558406,0.508438,0.033302421617053615,0.7262371428571428,0.0021190806356825545
212,w1,15,1.0,100,0.71,0.04537620521815371,0.499156,0.03191255484350948,0.7028957746478874,0.002057564207658186
101,w1,15,1.1,100,0.67,0.04702127178203499,0.45214000000000004,0.031733488872167835,0.6746865671641792,0.0018074730338789422
123,w1,15,1.2,100,0.69,0.04624932431938871,0.44439,0.029798349400596003,0.6439304347826088,0.0018929059844438663
3,w1,15,1.3,100,0.66,0.04737087712930804,0.40756,0.02926626071092786,0.6173545454545455,0.0022108829886756023
303,w1,15,1.4,100,0.64,0.048,0.37911199999999995,0.028450891911502536,0.592209375,0.002294028549535508
420,w1,15,1.5,100,0.77,0.042083250825001625,0.43235999999999997,0.02371590183821817,0.5614233766233767,0.0028407605281252557
284,w1,15,1.6,100,0.65,0.047696960070847276,0.348438,0.02559413662462557,0.5359138461538462,0.002346427602614328
391,w1,15,1.7,100,0.74,0.04386342439892262,0.3822560000000001,0.022720164274054006,0.516472972972973,0.002526021115949432
228,w1,15,1.8,100,0.65,0.047696960070847276,0.318646,0.023479836090569285,0.49007076923076925,0.003625755157793954
110,w1,15,1.9,100,0.77,0.042083250825001625,0.368726,0.020298584316153678,0.4787714285714285,0.0033391521548111255
443,w1,15,2.0,100,0.76,0.04270831300812525,0.34137799999999996,0.019381332646647393,0.44907368421052635,0.0038031803321137763
337,w1,15,2.1,100,0.73,0.044395945760846225,0.30499,0.01891186894518889,0.4176739726027397,0.005189432377154782
370,w1,15,2.2,100,0.73,0.044395945760846225,0.288988,0.018004167033217618,0.3957808219178083,0.005445187613491583
250,w1,15,2.3,100,0.71,0.04537620521815371,0.27310399999999996,0.017791060334898537,0.3845211267605634,0.004999141332931637
64,w1,15,2.4,100,0.7,0.045825756949558406,0.25250199999999995,0.01719768088900361,0.36061999999999994,0.006851957741985803
189,w1,15,2.5,100,0.76,0.04270831300812525,0.264022,0.015655859706831816,0.34730263157894736,0.0066413373205043355
38,w1,15,2.6,100,0.73,0.044395945760846225,0.2432,0.0156620752137129,0.33302739726027397,0.007136408690184054
149,w1,15,2.7,100,0.72,0.0448998886412873,0.22916199999999998,0.015443299568421252,0.31816666666666665,0.008192229455819102
435,w1,15,2.8,100,0.76,0.04270831300812525,0.23691399999999999,0.014250522588312334,0.3116473684210527,0.006737125681142136
318,w1,15,2.9,100,0.65,0.047696960070847276,0.18689199999999995,0.014764450391396216,0.28737538461538464,0.008492911358357594
40,w1,15,3.0,100,0.76,0.04270831300812525,0.21653000000000003,0.013893986432986036,0.2848052631578948,0.008868476474670029
147,w1,15,3.1,100,0.71,0.04537620521815371,0.20724,0.01441012116534764,0.2917774647887324,0.008052038199830268
67,w1,15,3.2,100,0.73,0.044395945760846225,0.19055,0.013290509207701562,0.26090136986301365,0.00896424550525678
