,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
87,w2,10,1.5,500,0.708,0.0203340109176719,0.5149952000000001,0.014795043784792256,0.7272745762711864,0.000860157715107017
89,w2,10,2.0,500,0.712,0.020251222185339826,0.5017504,0.014280271186489422,0.7046016853932584,0.0009617946312034395
88,w2,10,2.5,500,0.684,0.020791536739741004,0.4680536,0.014232212691429257,0.6841497076023393,0.000921078877240283
23,w2,10,3.0,500,0.692,0.020646355610615643,0.4598704,0.013725123486791658,0.664407514450867,0.0009038289938176281
20,w2,10,3.5,500,0.666,0.02109236828807993,0.42967520000000003,0.013611638898013714,0.645015015015015,0.0008846019347535254
16,w2,10,4.0,500,0.68,0.020861447696648473,0.4256156,0.01306289833663571,0.6257535294117648,0.0009355354191349107
9,w2,10,4.5,500,0.69,0.02068332661831747,0.4208436,0.012620973700871101,0.6097785507246377,0.0008960862007106645
10,w2,10,5.0,500,0.676,0.020929596269398033,0.4001268,0.012392946226120726,0.5917727810650888,0.0008423994458197047
5,w2,15,0.0,500,0.702,0.020454632727086548,0.6657632000000001,0.01939157242545122,0.9482586894586894,0.0003026530336084082
6,w2,15,0.5,500,0.696,0.020571047615520217,0.5700036,0.016843272626603182,0.8188522988505748,0.00054029444589253
13,w2,15,1.0,500,0.69,0.02068332661831747,0.5242680000000001,0.01571429840724682,0.7596771014492754,0.0007131456807952783
19,w2,15,1.5,500,0.676,0.020929596269398033,0.49241560000000006,0.015247539384218032,0.7282828402366864,0.0008604958277135246
25,w2,15,2.0,500,0.682,0.020826713614970557,0.48141,0.014707593737930076,0.7057460410557185,0.0009800418345843702
24,w2,15,2.5,500,0.674,0.020963015050321363,0.46200120000000006,0.014374890279828923,0.6853192878338279,0.0009644107034377072
22,w2,15,3.0,500,0.7,0.020493901531919198,0.466136,0.013652367512193626,0.665768,0.000911070245729198
18,w2,15,3.5,500,0.676,0.020929596269398033,0.4357964000000001,0.013498192037976049,0.6445260355029586,0.0009339416686474758
17,w2,15,4.0,500,0.738,0.01966499427917537,0.46402519999999997,0.012373144551403252,0.6286612466124661,0.0008528410755709978
12,w2,15,4.5,500,0.7,0.020493901531919198,0.42827800000000005,0.01254603827158199,0.6117062857142856,0.0008906350230350028
8,w2,15,5.0,500,0.696,0.020571047615520217,0.4150684,0.01227563512340115,0.5962373563218392,0.0009088271154922394
2,w3,5,0.0,500,0.694,0.020608930103234373,0.530636,0.015757390544376308,0.7644766570605188,0.0007391139321043825
7,w3,5,0.5,500,0.72,0.020079840636817812,0.5493424,0.015321389850939764,0.7628616666666667,0.0007344538524779844
15,w3,5,1.0,500,0.69,0.02068332661831747,0.5242680000000001,0.01571429840724682,0.7596771014492754,0.0007131456807952783
21,w3,5,1.5,500,0.71,0.020292855885754475,0.5377708,0.01537042463091765,0.7573160563380281,0.0006835668409870322
31,w3,5,2.0,500,0.692,0.020646355610615643,0.5215016,0.015560106328521024,0.7534768786127167,0.0008044751613625314
35,w3,5,2.5,500,0.696,0.020571047615520217,0.5234836,0.015471067663935802,0.7519919540229885,0.0007315831086674776
37,w3,5,3.0,500,0.7,0.020493901531919198,0.5245076000000001,0.01535556666373729,0.7491645714285715,0.0007328795913337919
40,w3,5,3.5,500,0.706,0.020374690181693564,0.5277288000000001,0.015227780774003807,0.7473546742209631,0.0006696145326012168
44,w3,5,4.0,500,0.7,0.020493901531919198,0.5206252,0.01524196730116949,0.7436205714285714,0.0007262999430196319
45,w3,5,4.5,500,0.696,0.020571047615520217,0.5159464,0.015250498610015345,0.7411701149425286,0.0007964315126083866
47,w3,5,5.0,500,0.696,0.020571047615520217,0.5148112,0.015215315444285733,0.7395390804597701,0.0007283057655253023
28,w3,10,0.0,500,0.704,0.020414896521902825,0.5377092,0.015594300445698742,0.7636795454545454,0.0007647242483836432
30,w3,10,0.5,500,0.682,0.020826713614970557,0.5192688000000001,0.015855604186946645,0.7612521994134896,0.0007116546874742267
33,w3,10,1.0,500,0.69,0.02068332661831747,0.5242680000000001,0.01571429840724682,0.7596771014492754,0.0007131456807952783
36,w3,10,1.5,500,0.678,0.020895741192884256,0.5136604,0.015829754178245472,0.7574654867256637,0.0007587159779038889
38,w3,10,2.0,500,0.686,0.020755914819636352,0.5178200000000001,0.0156652730075157,0.7547037900874636,0.0006759528194097584
39,w3,10,2.5,500,0.71,0.020292855885754475,0.5349244,0.015288624914271394,0.7533008450704227,0.0006812240855132961
41,w3,10,3.0,500,0.694,0.020608930103234373,0.5205616,0.015458962726227139,0.749964841498559,0.000750678427395443
43,w3,10,3.5,500,0.694,0.020608930103234373,0.5192832000000001,0.01542131504365046,0.748122190201729,0.0007647419149897399
46,w3,10,4.0,500,0.67,0.02102855201862458,0.4990452,0.01566227369170645,0.7447020895522387,0.0007612461705133924
48,w3,10,4.5,500,0.68,0.020861447696648473,0.5045136,0.015477485122269702,0.741795294117647,0.0007591175471806815
50,w3,10,5.0,500,0.686,0.020755914819636352,0.5067004,0.015331310608023046,0.7384921282798833,0.0007864610154029881
29,w3,15,0.0,500,0.696,0.020571047615520217,0.5317584000000001,0.015716102297289872,0.7638908045977012,0.0007286513839512456
34,w3,15,0.5,500,0.738,0.01966499427917537,0.5624888000000001,0.014989957093638392,0.7620813008130081,0.0007074910800282133
42,w3,15,1.0,500,0.69,0.02068332661831747,0.5242680000000001,0.01571429840724682,0.7596771014492754,0.0007131456807952783
49,w3,15,1.5,500,0.736,0.019713142824014644,0.55749,0.014933336258184236,0.7573445652173914,0.0007422189564293692
53,w3,15,2.0,500,0.706,0.020374690181693564,0.5332380000000001,0.015389395002793321,0.7551773371104815,0.0007298337767875873
54,w3,15,2.5,500,0.71,0.020292855885754475,0.534112,0.015265232598031383,0.7521442253521126,0.0007108902396618156
55,w3,15,3.0,500,0.712,0.020251222185339826,0.5342692,0.015197013333636315,0.7502657303370787,0.0007278953451933182
56,w3,15,3.5,500,0.726,0.01994612744369192,0.5423176000000001,0.014901421167810807,0.7468887052341597,0.0007306719111206506
57,w3,15,4.0,500,0.67,0.02102855201862458,0.49806519999999993,0.01563096217569219,0.7432322388059701,0.0007560319658885269
58,w3,15,4.5,500,0.702,0.020454632727086548,0.5207475999999999,0.01517405048457662,0.7416826210826211,0.0007499010845862912
60,w3,15,5.0,500,0.694,0.020608930103234373,0.5137755999999999,0.015255986699302013,0.740185590778098,0.0006845445568800693
