,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
95,w1,15,2.5,500,0.668,0.02106067425321421,0.33413600000000004,0.010587983111433451,0.5000610778443113,0.0017182549798571412
51,w1,15,3.0,500,0.674,0.020963015050321363,0.2837024,0.008991382780667277,0.4207869436201781,0.0026290383585646066
9,w1,15,3.5,500,0.67,0.02102855201862458,0.23661759999999998,0.007837870018090373,0.3530334328358209,0.003775923616601257
78,w1,15,4.0,500,0.732,0.0198078772209442,0.22005599999999997,0.006620049870507019,0.300516393442623,0.003973575451976503
32,w1,15,4.5,500,0.674,0.020963015050321363,0.1781364,0.006304275253356248,0.2641572700296736,0.004487181472289129
14,w1,15,5.0,500,0.702,0.020454632727086548,0.16144399999999998,0.005720367230169755,0.22983931623931622,0.004655950441040675
33,w2,5,0.0,500,0.706,0.020374690181693564,0.6721916,0.01939071596457645,0.9519835694050992,0.00022749312381715222
77,w2,5,0.5,500,0.688,0.020719845559269985,0.5639088,0.01697729467274218,0.8194982558139535,0.0005122782513835549
73,w2,5,1.0,500,0.674,0.020963015050321363,0.5116028,0.015911138472916385,0.7589169139465876,0.0007446834138371556
12,w2,5,1.5,500,0.708,0.0203340109176719,0.5157752,0.014815809222918605,0.728376836158192,0.0008012033010911451
18,w2,5,2.0,500,0.658,0.021214900423994452,0.4643824,0.014973648288258944,0.7055951367781156,0.0008629272594240994
66,w2,5,2.5,500,0.712,0.020251222185339826,0.4873100000000001,0.013866666678044872,0.6843039325842697,0.0008963438449248505
85,w2,5,3.0,500,0.7,0.020493901531919198,0.4659952,0.013649850599692289,0.6655834285714285,0.0009253474753234395
26,w2,5,3.5,500,0.668,0.02106067425321421,0.43093960000000003,0.013590611544138844,0.6449862275449102,0.0008688594725392261
55,w2,5,4.0,500,0.694,0.020608930103234373,0.4355116,0.01293895879160607,0.6274184438040346,0.0008713246926908486
4,w2,5,4.5,500,0.712,0.020251222185339826,0.4341724,0.01235492844481424,0.6096780898876405,0.0008240304827112568
44,w2,5,5.0,500,0.654,0.021273645667821018,0.3868128,0.012586908296810619,0.591302752293578,0.0009055300840251624
